Epoch,p95_us,avg_us,Runtime(ms),Throughput(ops/sec),avg-run_duration_s,clean-run_duration_s,extend_duration_s,load_duration_s,reference_duration_s,run_duration_s,vacuum_duration_s,avg-run_delta_checkpoints_timed,clean-run_delta_checkpoints_timed,extend_delta_checkpoints_timed,load_delta_checkpoints_timed,reference_delta_checkpoints_timed,run_delta_checkpoints_timed,vacuum_delta_checkpoints_timed,avg-run_delta_checkpoints_req,clean-run_delta_checkpoints_req,extend_delta_checkpoints_req,load_delta_checkpoints_req,reference_delta_checkpoints_req,run_delta_checkpoints_req,vacuum_delta_checkpoints_req,avg-run_delta_checkpoint_write_time,clean-run_delta_checkpoint_write_time,extend_delta_checkpoint_write_time,load_delta_checkpoint_write_time,reference_delta_checkpoint_write_time,run_delta_checkpoint_write_time,vacuum_delta_checkpoint_write_time,avg-run_delta_checkpoint_sync_time,clean-run_delta_checkpoint_sync_time,extend_delta_checkpoint_sync_time,load_delta_checkpoint_sync_time,reference_delta_checkpoint_sync_time,run_delta_checkpoint_sync_time,vacuum_delta_checkpoint_sync_time,avg-run_delta_buffers_checkpoint,clean-run_delta_buffers_checkpoint,extend_delta_buffers_checkpoint,load_delta_buffers_checkpoint,reference_delta_buffers_checkpoint,run_delta_buffers_checkpoint,vacuum_delta_buffers_checkpoint,avg-run_delta_buffers_clean,clean-run_delta_buffers_clean,extend_delta_buffers_clean,load_delta_buffers_clean,reference_delta_buffers_clean,run_delta_buffers_clean,vacuum_delta_buffers_clean,avg-run_delta_buffers_backend,clean-run_delta_buffers_backend,extend_delta_buffers_backend,load_delta_buffers_backend,reference_delta_buffers_backend,run_delta_buffers_backend,vacuum_delta_buffers_backend,avg-run_delta_buffers_alloc,clean-run_delta_buffers_alloc,extend_delta_buffers_alloc,load_delta_buffers_alloc,reference_delta_buffers_alloc,run_delta_buffers_alloc,vacuum_delta_buffers_alloc,avg-run_delta_wal_bytes,clean-run_delta_wal_bytes,extend_delta_wal_bytes,load_delta_wal_bytes,reference_delta_wal_bytes,run_delta_wal_bytes,vacuum_delta_wal_bytes,avg-run_delta_wal_records,clean-run_delta_wal_records,extend_delta_wal_records,load_delta_wal_records,reference_delta_wal_records,run_delta_wal_records,vacuum_delta_wal_records,cycle_duration_s,cycle_delta_checkpoints_timed,cycle_delta_checkpoints_req,cycle_delta_checkpoint_write_time,cycle_delta_checkpoint_sync_time,cycle_delta_buffers_checkpoint,cycle_delta_buffers_clean,cycle_delta_buffers_backend,cycle_delta_buffers_alloc,cycle_delta_wal_bytes,cycle_delta_wal_records,is_p95_peak
33,592,403.39283,40940,2442.5989252564727,35.292,37.58,333.436,,5.631,41.207,106.577,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,23.0,,0.0,0.0,1.0,0.0,0.0,325587.0,,0.0,0.0,48832.0,0.0,0.0,12630.0,,0.0,0.0,8516.0,458.0,0.0,2350677.0,,56.0,32524.0,303256.0,0.0,3.0,727.0,,2800.0,20400.0,21233.0,1.0,0.0,300632.0,,0.0,1013.0,1165029.0,1.0,75.0,1099040.0,,1666.0,101.0,4538.0,3179541.0,2974825.0,12493686798.0,,0.0,19296.0,772501829.0,50407.0,47386.0,14398512.0,,0.0,98.0,3710181.0,631.334,0,26,512791,21190,3064426,58259,1571301,1266273,14102605534,19108245,False
34,598,408.0138,41371,2417.152111382369,36.013,38.522,364.975,,5.677,41.619,79.864,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,24.0,,0.0,0.0,1.0,0.0,0.0,355511.0,,0.0,0.0,19996.0,0.0,0.0,12359.0,,0.0,0.0,8928.0,359.0,0.0,2150453.0,,56.0,19671.0,173515.0,0.0,0.0,5368.0,,2800.0,20100.0,25237.0,0.0,0.0,418213.0,,0.0,2998.0,984976.0,0.0,592.0,1257816.0,,1559.0,220.0,2439.0,50.0,50.0,13287664498.0,,0.0,50.0,614985393.0,1.0,1.0,15531754.0,,0.0,1.0,3252030.0,625.961,0,27,500619,21301,2703117,60250,1511977,1422168,14747245137,19733475,False
35,622,409.56843,41532,2407.7819512664933,35.963,39.86,365.241,,5.325,41.789,95.001,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,25.0,,0.0,0.0,1.0,0.0,0.0,362016.0,,0.0,0.0,42931.0,0.0,0.0,10009.0,,0.0,0.0,8663.0,442.0,0.0,2254327.0,,51.0,69150.0,249405.0,0.0,0.0,6081.0,,2600.0,20200.0,19670.0,1.0,0.0,338555.0,,0.0,3179.0,1141712.0,1.0,65.0,1141805.0,,1559.0,1212.0,3163.0,3000776.0,3074010.0,13687928794.0,,0.0,50.0,682784657.0,48590.0,50252.0,15918672.0,,0.0,1.0,3408401.0,645.153,0,28,529230,18697,2890612,57883,1594711,1315473,15241388463,20350390,False
36,630,418.18757,42393,2358.880003774208,36.52,40.081,379.792,,5.665,42.659,87.09,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,26.0,,0.0,0.0,0.0,0.0,0.0,377755.0,,0.0,90474.0,0.0,0.0,0.0,14578.0,,0.0,8313.0,0.0,365.0,0.0,2425622.0,,0.0,1707.0,85471.0,0.0,0.0,3703.0,,2800.0,20200.0,26476.0,0.0,0.0,300572.0,,0.0,1993.0,1231929.0,1.0,336.0,1248076.0,,1666.0,17419.0,9368.0,50.0,3134713.0,14052857822.0,,0.0,3167.0,438809959.0,1.0,51700.0,16450841.0,,0.0,50.0,3327652.0,661.484,0,28,498324,22916,2971371,66877,1650868,1446329,15392325783,20814444,False
37,646,418.69295,42449,2355.768098188414,37.234,41.95,382.388,,5.415,42.707,101.514,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,26.0,,0.0,0.0,1.0,0.0,0.0,369929.0,,0.0,0.0,0.0,0.0,0.0,13770.0,,0.0,0.0,0.0,372.0,0.0,2639337.0,,54.0,426.0,75656.0,0.0,0.0,2284.0,,2700.0,21000.0,27004.0,0.0,0.0,350173.0,,0.0,0.0,1395084.0,0.0,52.0,1314608.0,,1666.0,3212.0,3631.0,50.0,50.0,14252567644.0,,0.0,50.0,752203032.0,1.0,1.0,16312781.0,,0.0,1.0,4206272.0,689.886,0,29,565289,16427,3190665,65470,1868786,1513463,15924903364,21494071,False
38,656,445.11263,45095,2217.540747311232,37.884,42.268,418.66,,5.558,45.35,99.187,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,28.0,,0.0,0.0,1.0,0.0,0.0,411240.0,,0.0,0.0,49116.0,0.0,0.0,20584.0,,0.0,0.0,8739.0,378.0,0.0,2316213.0,,55.0,64932.0,185693.0,0.0,3.0,7710.0,,2633.0,17912.0,32585.0,0.0,0.0,619196.0,,0.0,5027.0,1131914.0,0.0,733.0,1441903.0,,1666.0,680.0,4032.0,50.0,50.0,15143538048.0,,0.0,15681.0,702576732.0,1.0,1.0,17576203.0,,0.0,39.0,3799629.0,707.623,0,31,572478,29341,2843324,68915,1880243,1636805,16775389453,22365038,False
39,683,456.54125,46241,2162.5829891222074,41.744,43.347,411.006,,5.638,46.522,115.847,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,28.0,,0.0,0.0,1.0,0.0,0.0,408502.0,,0.0,0.0,33610.0,0.0,0.0,9653.0,,0.0,0.0,8066.0,417.0,0.0,2662229.0,,57.0,16704.0,131023.0,0.0,0.0,2500.0,,2800.0,22700.0,29286.0,0.0,0.0,283310.0,,0.0,2967.0,1514444.0,0.0,919.0,1480522.0,,1666.0,262.0,4565.0,50.0,50.0,15431893795.0,,0.0,50.0,609793102.0,1.0,1.0,17978056.0,,0.0,1.0,3697543.0,731.067,0,31,595130,17740,3209401,64703,1924783,1695829,17023917538,22871448,False
40,683,453.98898,45998,2174.007565546328,43.707,45.998,422.554,,5.452,46.252,137.603,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,29.0,,0.0,0.0,1.0,0.0,0.0,423030.0,,0.0,0.0,61610.0,0.0,0.0,14341.0,,0.0,0.0,8373.0,437.0,0.0,2695726.0,,54.0,461.0,341878.0,0.0,0.0,5015.0,,2700.0,22200.0,20834.0,0.0,0.0,325751.0,,0.0,0.0,1524972.0,0.0,510.0,1442307.0,,1666.0,544.0,4916.0,50.0,50.0,15780352786.0,,0.0,100.0,752662448.0,1.0,1.0,18218321.0,,0.0,2.0,3912572.0,779.688,0,32,650062,22731,3499049,62841,1994943,1656098,17530673715,23342530,False
41,698,464.29361,47066,2124.675986911996,44.856,46.032,423.178,,5.599,47.327,112.363,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,29.0,,0.0,1.0,0.0,0.0,0.0,429721.0,,0.0,0.0,91884.0,0.0,0.0,19383.0,,0.0,0.0,8788.0,448.0,0.0,2656843.0,,9894.0,89337.0,53283.0,0.0,0.0,3776.0,,2800.0,23000.0,30146.0,0.0,0.0,441158.0,,0.0,32849.0,1440441.0,0.0,840.0,1412536.0,,1666.0,228.0,5029.0,50.0,50.0,16056593233.0,,0.0,50.0,587212051.0,1.0,1.0,18488421.0,,0.0,1.0,3988605.0,751.274,0,33,604682,28184,3191366,69665,2059969,1624276,17666592422,23700120,False
42,729,485.53578,49129,2035.457672657697,45.482,47.304,426.919,,5.385,49.392,139.572,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,30.0,,0.0,0.0,1.0,0.0,0.0,426066.0,,0.0,107388.0,22891.0,0.0,0.0,17338.0,,0.0,8886.0,8676.0,454.0,0.0,2781686.0,,0.0,178.0,190077.0,0.0,0.0,2159.0,,2700.0,24100.0,39374.0,2.0,0.0,365992.0,,0.0,2383.0,1592813.0,2.0,461.0,1411326.0,,1666.0,625.0,4012.0,3084411.0,50.0,16413220624.0,,0.0,214.0,718298567.0,51890.0,1.0,18815832.0,,0.0,3.0,4062235.0,794.134,0,33,588503,34905,3425648,79181,2111472,1626533,18178372300,24153411,False
43,723,498.10237,50448,1982.2391373295277,46.124,47.86,443.175,,5.489,50.703,140.782,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,31.0,,0.0,0.0,1.0,0.0,0.0,442861.0,,0.0,88931.0,56835.0,0.0,0.0,18971.0,,0.0,7242.0,8847.0,460.0,0.0,2719396.0,,0.0,17928.0,388438.0,0.0,0.0,2652.0,,2800.0,24400.0,14633.0,4.0,0.0,464128.0,,0.0,642.0,1568027.0,3.0,52.0,1577228.0,,1688.0,4328.0,7027.0,3576936.0,50.0,16822824007.0,,18890.0,214.0,819572353.0,60102.0,1.0,19192264.0,,16.0,3.0,4262031.0,813.735,0,34,621292,35063,3581136,54005,2181649,1805242,18704734462,24737923,False
44,754,525.08888,53104,1883.0973184694185,46.744,48.669,456.646,,5.466,53.38,142.681,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,32.0,,0.0,0.0,1.0,59131.0,0.0,454561.0,,0.0,88832.0,50776.0,4.0,0.0,21029.0,,0.0,8818.0,8911.0,361.0,0.0,2757154.0,,0.0,27888.0,295253.0,0.0,0.0,4280.0,,2800.0,25900.0,14241.0,0.0,0.0,531838.0,,0.0,2663.0,1582900.0,2.0,87.0,1668311.0,,1666.0,601.0,4874.0,2930113.0,50.0,17352492494.0,,0.0,264.0,828885098.0,49274.0,1.0,19737139.0,,0.0,4.0,4434599.0,836.821,0,35,689150,38768,3544792,56269,2267179,1897408,19267971889,25471972,False
45,761,504.25062,51021,1959.9772642637345,47.469,49.583,487.691,,5.384,51.293,140.664,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,33.0,,0.0,0.0,1.0,29979.0,0.0,405306.0,,0.0,0.0,47065.0,3091.0,0.0,35098.0,,0.0,0.0,8583.0,63.0,0.0,2627984.0,,53.0,505.0,407905.0,0.0,0.0,5587.0,,2700.0,25200.0,19805.0,0.0,0.0,849143.0,,0.0,0.0,1394514.0,2.0,832.0,1709973.0,,1666.0,697.0,5301.0,3304645.0,50.0,17737445784.0,,0.0,50.0,875697554.0,55622.0,1.0,20203391.0,,0.0,1.0,4549162.0,862.68,0,36,666111,46789,3486792,62940,2399111,1944019,19712130807,26054307,False
46,800,524.80944,53074,1884.161736443456,49.451,50.532,496.002,,5.707,53.343,138.5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,34.0,,0.0,0.0,1.0,0.0,0.0,417580.0,,0.0,0.0,77399.0,0.0,0.0,35096.0,,0.0,0.0,8737.0,0.0,0.0,2685928.0,,57.0,527.0,270282.0,0.0,0.0,8081.0,,2800.0,26200.0,36410.0,0.0,0.0,834681.0,,0.0,0.0,1442815.0,3.0,167.0,1744480.0,,1666.0,5614.0,6596.0,3969779.0,50.0,18098843685.0,,0.0,50.0,881903764.0,66721.0,1.0,20569399.0,,0.0,1.0,4680122.0,869.341,0,37,655694,46991,3313150,84490,2436757,1988213,20101767674,26561093,False
47,906,547.23365,55293,1808.5471940390285,49.889,49.908,512.954,,5.631,55.678,163.407,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,35.0,,0.0,0.0,1.0,0.0,0.0,417649.0,,0.0,0.0,92909.0,0.0,0.0,56312.0,,0.0,0.0,8478.0,0.0,12830.0,2522463.0,,2.0,13667.0,281389.0,0.0,0.0,10733.0,,2800.0,27114.0,49683.0,0.0,1.0,1224983.0,,0.0,59.0,1685457.0,2.0,70.0,1801287.0,,1666.0,18598.0,11523.0,3031842.0,50.0,18619795161.0,,0.0,50.0,892588075.0,50999.0,1.0,21134342.0,,0.0,1.0,4939508.0,917.079,0,38,739439,67863,3207086,101368,3070686,2069363,20669030925,27405792,False
48,932,554.78028,56101,1782.4994206876884,50.656,52.666,514.077,,5.454,56.358,167.35,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,36.0,,0.0,0.0,1.0,0.0,0.0,427145.0,,0.0,0.0,90118.0,0.0,0.0,45831.0,,0.0,0.0,8511.0,12296.0,11141.0,2799537.0,,55.0,562.0,296010.0,0.0,0.0,5295.0,,2800.0,27700.0,57550.0,6.0,0.0,998805.0,,0.0,2351.0,1594900.0,4.0,461.0,1854023.0,,1666.0,18959.0,11340.0,4005931.0,50.0,19180668736.0,,0.0,50.0,898394311.0,66987.0,1.0,21736834.0,,0.0,1.0,4994937.0,929.559,0,40,757925,57225,3502660,107508,2768555,2127977,21254371743,28082132,False
49,946,568.36456,57418,1741.614127973806,51.738,53.606,497.503,,5.269,57.673,196.35,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,35.0,,0.0,1.0,1.0,0.0,0.0,474183.0,,0.0,0.0,197198.0,0.0,0.0,26259.0,,0.0,0.0,17857.0,10713.0,11090.0,2954578.0,,7461.0,78453.0,440276.0,0.0,0.0,3831.0,,2600.0,28400.0,38911.0,6.0,4.0,701422.0,,0.0,2187.0,1844270.0,4.0,54.0,1869692.0,,1559.0,16775.0,11568.0,4286998.0,100.0,19364201361.0,,0.0,50.0,939685836.0,71751.0,2.0,21776188.0,,0.0,1.0,5121904.0,944.516,0,40,836344,47133,3864915,83088,2737723,2151485,21508284867,28325132,True
50,829,573.52084,57959,1725.3575803585293,52.011,53.544,520.882,,6.249,58.228,204.331,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,36.0,,0.0,0.0,2.0,0.0,0.0,503544.0,,0.0,0.0,157291.0,0.0,0.0,17852.0,,0.0,0.0,18061.0,7295.0,9630.0,3308436.0,,8539.0,24699.0,251751.0,0.0,0.0,3579.0,,3100.0,27696.0,56022.0,6.0,0.0,478480.0,,0.0,0.0,2033450.0,4.0,561.0,1928159.0,,1666.0,1229.0,6955.0,4286948.0,50.0,19996025365.0,,0.0,50.0,902014218.0,71750.0,1.0,22615765.0,,0.0,1.0,4980541.0,986.547,0,41,846015,38784,3957035,102043,2717895,2189669,22134182262,28971737,False
51,838,558.82023,56490,1770.224818551956,52.842,56.226,511.336,,5.723,56.755,240.641,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,36.0,,0.0,0.0,1.0,0.0,0.0,501357.0,,0.0,0.0,124353.0,0.0,0.0,14256.0,,0.0,0.0,8853.0,5876.0,10799.0,3466519.0,,47.0,563.0,432673.0,0.0,0.0,2897.0,,2800.0,27751.0,66544.0,6.0,5.0,295592.0,,0.0,0.0,2318373.0,4.0,231.0,1945817.0,,1666.0,840.0,7053.0,4286939.0,100.0,20288248943.0,,0.0,50.0,867767826.0,71750.0,2.0,22870825.0,,0.0,1.0,4943024.0,1003.831,0,41,903795,25887,4121763,106987,2793359,2205554,22438720836,29262688,False
52,864,603.04335,60915,1641.6317819912992,53.338,56.94,526.225,,5.696,61.199,244.133,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,38.0,,0.0,0.0,2.0,0.0,0.0,512502.0,,0.0,0.0,226721.0,0.0,0.0,19058.0,,0.0,0.0,20930.0,3480.0,8968.0,3686366.0,,6749.0,62371.0,374317.0,0.0,0.0,4824.0,,2800.0,29823.0,66687.0,6.0,1.0,377539.0,,0.0,696.0,2377052.0,4.0,52.0,1765771.0,,1559.0,527.0,6244.0,4286821.0,50.0,21025863218.0,,0.0,0.0,851539817.0,71748.0,1.0,23824723.0,,0.0,0.0,4949280.0,1039.751,0,43,916647,42632,4475694,115966,2903730,2031897,23180970643,30171281,False
53,866,584.4866,59067,1692.992703201449,54.175,58.144,538.961,,5.736,59.335,246.208,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,39.0,,0.0,0.0,2.0,0.0,0.0,520441.0,,0.0,0.0,186709.0,0.0,0.0,24019.0,,0.0,0.0,18057.0,865.0,5743.0,3835631.0,,7669.0,45461.0,241311.0,0.0,0.0,3711.0,,2800.0,29000.0,63702.0,6.0,6.0,431217.0,,0.0,358.0,2435738.0,4.0,638.0,1886940.0,,1559.0,249.0,6148.0,4497628.0,100.0,21667087152.0,,0.0,50.0,828752003.0,75321.0,2.0,24550114.0,,0.0,1.0,5025470.0,1046.289,0,44,893527,44594,4442951,107463,3021308,2160168,23822398531,31057755,False
54,963,621.97083,62810,1592.103168285305,55.021,57.39,546.291,,5.623,63.109,273.47,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,39.0,,0.0,0.0,2.0,0.0,0.0,532535.0,,0.0,0.0,148752.0,0.0,0.0,12740.0,,0.0,0.0,8804.0,861.0,4391.0,3602350.0,,365.0,55225.0,369994.0,0.0,0.0,5881.0,,2800.0,30900.0,78062.0,6.0,91.0,325483.0,,0.0,3015.0,2545262.0,4.0,749.0,1999284.0,,1666.0,9868.0,10099.0,4497625.0,4630669.0,21787221445.0,,0.0,50.0,823180879.0,75321.0,77702.0,24564485.0,,0.0,1.0,5212840.0,1083.224,0,44,968408,23985,4258474,124917,3030256,2282573,23960385658,31272302,False
55,891,598.08898,60410,1655.3550736633008,55.951,58.571,565.038,,6.14,60.708,271.657,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,40.0,,0.0,0.0,2.0,0.0,0.0,551953.0,,0.0,0.0,228436.0,0.0,0.0,20403.0,,0.0,0.0,19870.0,811.0,3592.0,3638904.0,,7119.0,45131.0,359117.0,0.0,0.0,4504.0,,3000.0,29900.0,71008.0,6.0,4.0,368222.0,,0.0,0.0,2604204.0,4.0,54.0,1915555.0,,1599.0,1074.0,6857.0,4497504.0,100.0,22018240137.0,,0.0,50.0,924282539.0,75319.0,2.0,24693409.0,,0.0,1.0,5307164.0,1116.717,0,45,973021,42529,4407863,120312,3133817,2190483,24308339169,31505017,False
56,912,610.50891,61654,1621.9547799007364,56.617,59.539,586.604,,5.615,61.937,263.437,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,41.0,,0.0,1.0,1.0,0.0,0.0,555985.0,,0.0,158617.0,117364.0,0.0,0.0,44250.0,,0.0,8367.0,9493.0,827.0,2945.0,3398249.0,,0.0,9986.0,457771.0,0.0,0.0,5399.0,,2800.0,30400.0,19201.0,6.0,7.0,971259.0,,0.0,1563.0,2083461.0,4.0,678.0,1943096.0,,1666.0,992.0,8039.0,4497551.0,4795220.0,22446467152.0,,0.0,214.0,1059831551.0,75320.0,80491.0,24842843.0,,0.0,3.0,5805718.0,1143.32,0,46,947815,64241,4306977,68229,3304572,2226572,24861481324,32155850,False
57,1146,660.33824,66641,1500.5777224231329,57.188,60.402,643.602,,5.739,66.926,284.929,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,42.0,,0.0,0.0,2.0,0.0,0.0,580934.0,,0.0,0.0,145351.0,0.0,0.0,77656.0,,0.0,0.0,8692.0,865.0,804.0,3036525.0,,1813.0,16139.0,293848.0,0.0,0.0,10858.0,,2800.0,32698.0,92513.0,6.0,6.0,1629583.0,,0.0,220.0,2485578.0,4.0,56.0,2220532.0,,1559.0,14204.0,12543.0,4497607.0,4880062.0,23182061415.0,,0.0,50.0,1098798178.0,75321.0,81929.0,25697099.0,,0.0,1.0,6133705.0,1226.97,0,47,1049737,92439,3761585,160311,4358990,2528340,25673857247,33355153,False
58,1170,679.5977,68569,1458.3849844682,57.897,60.892,639.726,,5.684,68.841,308.276,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,43.0,,0.0,0.0,1.0,0.0,0.0,597234.0,,0.0,162753.0,149137.0,0.0,0.0,64016.0,,0.0,7851.0,9273.0,828.0,798.0,3001512.0,,0.0,14692.0,465441.0,0.0,0.0,7101.0,,2800.0,33353.0,39896.0,6.0,6.0,1525909.0,,0.0,3508.0,2542974.0,4.0,56.0,2234849.0,,1666.0,13702.0,13855.0,4497542.0,4960066.0,23330518342.0,,0.0,264.0,1113101906.0,75320.0,83285.0,25774178.0,,0.0,4.0,6243782.0,1247.519,0,47,1022089,83016,3904602,96638,4320340,2543435,25858089993,33553553,False
59,1260,712.26326,71881,1391.1882138534522,58.927,63.884,595.839,,5.582,72.181,295.416,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,43.0,,0.0,0.0,2.0,0.0,0.0,574143.0,,0.0,0.0,298373.0,0.0,0.0,37938.0,,0.0,0.0,17122.0,1223.0,885.0,3604710.0,,223.0,39612.0,506088.0,0.0,0.0,8148.0,,2800.0,35502.0,26736.0,7.0,7.0,814958.0,,0.0,0.0,2367890.0,5.0,256.0,2231953.0,,1666.0,22910.0,13609.0,5982076.0,5042627.0,23455084217.0,,0.0,50.0,1067777355.0,100320.0,84662.0,25789450.0,,0.0,1.0,6050773.0,1189.748,0,48,1062969,57703,4539510,79496,3463081,2573782,25972099568,33613370,False
60,1240,683.22752,68961,1450.09498122127,59.449,64.786,621.814,,5.645,69.254,306.78,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,45.0,,0.0,0.0,1.0,0.0,0.0,605051.0,,0.0,162951.0,146176.0,0.0,0.0,29965.0,,0.0,8915.0,9046.0,1175.0,928.0,3907209.0,,0.0,22839.0,443059.0,0.0,0.0,7412.0,,2800.0,34384.0,50795.0,7.0,7.0,612225.0,,0.0,4357.0,2562802.0,5.0,56.0,2326544.0,,1666.0,18195.0,13344.0,5980676.0,5122471.0,24437611525.0,,0.0,214.0,1070262788.0,100319.0,86038.0,26906709.0,,0.0,3.0,6165152.0,1238.683,0,49,1029680,50350,4809673,113536,3469592,2671860,26986318757,34859098,False
61,1335,717.29312,72350,1382.17000691085,60.078,65.188,615.553,,5.534,72.613,327.091,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,45.0,,0.0,0.0,2.0,0.0,0.0,603185.0,,0.0,0.0,162596.0,0.0,0.0,17005.0,,0.0,0.0,8678.0,1159.0,886.0,4364969.0,,234.0,6198.0,496616.0,0.0,0.0,5432.0,,2700.0,35519.0,90055.0,7.0,7.0,315204.0,,0.0,0.0,2830693.0,5.0,56.0,2280282.0,,1666.0,23368.0,11512.0,5980795.0,5202652.0,24830028234.0,,0.0,50.0,983430919.0,100321.0,87397.0,27475380.0,,0.0,1.0,5769658.0,1241.763,0,50,1117434,28520,5099559,147025,3416435,2626567,27337960662,35058162,True
62,1089,745.92344,75224,1329.3629692651282,61.169,66.133,651.426,,5.586,75.504,312.892,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,47.0,,0.0,0.0,1.0,0.0,0.0,623832.0,,0.0,173607.0,158380.0,0.0,0.0,46855.0,,0.0,8519.0,9560.0,1156.0,906.0,3815547.0,,0.0,24716.0,422580.0,0.0,0.0,4225.0,,2800.0,36600.0,58919.0,7.0,7.0,1005526.0,,0.0,2757.0,2529661.0,5.0,56.0,2404224.0,,1666.0,5291.0,11479.0,5980736.0,5283482.0,25417424979.0,,0.0,264.0,1148559230.0,100320.0,88767.0,27780160.0,,0.0,4.0,6566715.0,1293.469,0,51,1072763,67002,4689762,114723,3853020,2746758,28071905714,36154445,False
63,1052,680.98286,68740,1454.7570555717195,64.461,65.895,665.388,,5.786,69.035,310.771,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,47.0,,0.0,0.0,2.0,0.0,0.0,630812.0,,0.0,0.0,157892.0,0.0,0.0,46865.0,,0.0,0.0,8013.0,1143.0,912.0,3632877.0,,6789.0,684.0,302418.0,0.0,0.0,5345.0,,2900.0,33700.0,94319.0,7.0,7.0,1205866.0,,0.0,0.0,2522085.0,5.0,701.0,2443922.0,,1666.0,1381.0,11339.0,5981056.0,5366756.0,25769058606.0,,0.0,50.0,1184290608.0,100320.0,90173.0,28101006.0,,0.0,1.0,6716846.0,1302.421,0,52,1136368,65585,4370060,148035,3984018,2784489,28472801238,36639714,False
64,1075,687.88297,69441,1440.071427542806,65.205,67.702,677.499,,5.35,69.724,310.132,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,48.0,,0.0,0.0,2.0,0.0,0.0,650770.0,,0.0,0.0,184782.0,0.0,0.0,43337.0,,0.0,0.0,15488.0,1154.0,1105.0,3858845.0,,7794.0,9314.0,295023.0,0.0,0.0,11793.0,,2700.0,33500.0,89005.0,7.0,108.0,1112435.0,,0.0,0.0,2544450.0,5.0,56.0,2483864.0,,1666.0,1271.0,10451.0,5980736.0,5443903.0,26265174200.0,,0.0,50.0,1154354069.0,100320.0,91486.0,28726961.0,,0.0,1.0,6586475.0,1314.766,0,53,1138307,60615,4579118,148055,3965574,2823542,28975394875,37151986,False
65,1081,722.06902,72852,1372.645912260473,65.858,65.905,681.085,,5.333,73.124,338.533,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,49.0,,0.0,0.0,2.0,0.0,0.0,667766.0,,0.0,0.0,212122.0,0.0,0.0,29760.0,,0.0,0.0,17818.0,1127.0,1015.0,4388428.0,,7911.0,25309.0,340808.0,0.0,0.0,2264.0,,2600.0,36000.0,87884.0,7.0,8.0,572992.0,,0.0,0.0,2898996.0,5.0,641.0,2520498.0,,1666.0,1395.0,10067.0,5980795.0,5522314.0,26798295451.0,,0.0,50.0,1109305484.0,100321.0,92815.0,29325825.0,,0.0,1.0,6457242.0,1339.605,0,54,1176124,49252,5111806,140151,3789041,2858462,29502726177,37635664,False
66,1240,732.79891,73898,1353.2165958483315,66.874,67.292,674.963,,5.615,74.173,378.582,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,50.0,,0.0,0.0,2.0,0.0,0.0,672487.0,,0.0,0.0,243390.0,0.0,0.0,19576.0,,0.0,0.0,20400.0,1096.0,951.0,4627525.0,,7585.0,70037.0,450345.0,0.0,0.0,4816.0,,12.0,20841.0,38958.0,7.0,7.0,359922.0,,0.0,0.0,3279773.0,5.0,56.0,2560333.0,,1558.0,11093.0,11824.0,5980736.0,5600843.0,27253929435.0,,0.0,50.0,1104771114.0,100320.0,94146.0,29773792.0,,0.0,1.0,6505784.0,1370.018,0,55,1204697,41525,5419756,65778,3950561,2908392,29990211390,38148521,False
